time_stamp,Location,name,latitude,longitude,altitude,model,firmware_version,last_seen,humidity,channel a,pm2.5,pm2.5_10minute,pm2.5_60minute,pm2.5_24hour,channel b,pm2.5,pm2.5_10minute,pm2.5_60minute,pm2.5_24hour,A,B,Diff,SD,JumpA,JumpB,JumpSD,Q&A,Uncorrected Average,Corrected Value
07-28-2022 08:41:10,Concord,NHDES Max,43.289764,-71.56426,370,PA-II-SD,7.00,07-28-2022 08:38:48,63,,7.8,7.2,6.6,6.4,,7.2,7.2,6.6,6.2,7.2,7.2,0.0,0.0,0.1,0.0,0.05,Passed,7.2,2.14
07-28-2022 08:41:11,Suncook,NH2,43.132477,-71.458374,230,PA-II-SD,7.00,07-28-2022 08:39:33,57,,12.8,12.5,10.5,9.1,,12.5,11.9,9.7,8.1,12.5,11.9,0.6,0.3,0.1,0.1,0.0,Passed,12.2,5.61
07-28-2022 08:41:12,Raymond,MChase_ParkPl,43.00408,-71.17704,194,PA-II-SD,7.00,07-28-2022 08:39:55,61,,9.0,9.6,8.0,7.2,,0.0,0.0,0.0,0.3,9.6,0.0,9.6,4.8,0.1,0.0,0.05,Passed,4.8,0.82
07-28-2022 08:41:12,Keene,KSC 04,42.93053,-72.27235,476,PA-II,7.00,07-28-2022 08:39:58,64,,11.8,9.5,8.0,7.9,,10.2,8.4,7.0,7.2,9.5,8.4,1.1,0.55,0.2,0.2,0.0,Passed,8.95,3.14
07-28-2022 08:41:13,Merrimack,KSC 15,42.899563,-71.46465,301,PA-II,7.00,07-27-2022 09:02:30,35,,3.7,3.8,4.4,9.3,,2.6,3.1,3.8,8.7,3.8,3.1,0.7,0.35,0.0,0.0,0.0,Passed,3.45,1.81
07-28-2022 08:42:52,Concord,"12 Noyes Street, Concord, NH",43.192043,-71.54158,291,PA-II-SD,7.00,07-28-2022 08:40:59,63,,9.0,8.0,5.4,4.4,,8.6,7.6,5.1,4.3,8.0,7.6,0.4,0.2,0.1,0.1,0.0,Passed,7.8,2.51
07-28-2022 08:42:53,Bow,Junder22,43.08963,-71.50244,619,PA-II,7.00,07-28-2022 08:41:49,65,,7.9,7.6,6.5,6.0,,8.4,8.1,7.0,6.4,7.6,8.1,0.5,0.25,0.1,0.1,0.0,Passed,7.85,2.4
07-28-2022 08:42:53,Dunbarton,NHDES_katerr,43.11861,-71.61618,885,PA-II-SD,7.00,07-28-2022 08:42:03,None,,7.6,7.8,7.2,6.4,,6.9,8.0,7.3,6.2,7.8,8.0,0.2,0.1,0.0,0.1,0.05,RH,7.9,1.45
07-28-2022 08:42:55,Concord,"12 Noyes Street, Concord, NH",43.19211,-71.54146,286,PA-II-SD,7.00,07-28-2022 08:40:23,63,,10.6,9.9,7.5,6.1,,12.0,11.2,8.5,6.8,9.9,11.2,1.3,0.65,0.0,0.0,0.0,Passed,10.55,4.19
07-28-2022 08:42:56,Laconia,NH7,43.565853,-71.49613,708,PA-II-SD,7.00,07-28-2022 08:40:22,62,,7.0,7.4,7.7,6.8,,7.5,7.6,7.8,6.6,7.4,7.6,0.2,0.1,0.1,0.0,0.05,Passed,7.5,2.39
07-28-2022 08:42:57,Concord,NHDES Max,43.289764,-71.56426,370,PA-II-SD,7.00,07-28-2022 08:40:48,63,,7.2,7.2,6.6,6.4,,7.2,7.2,6.6,6.2,7.2,7.2,0.0,0.0,0.0,0.0,0.0,Passed,7.2,2.14
07-28-2022 08:42:58,Suncook,NH2,43.132477,-71.458374,230,PA-II-SD,7.00,07-28-2022 08:41:33,57,,15.7,12.8,10.6,9.1,,12.8,12.0,9.8,8.1,12.8,12.0,0.8,0.4,0.3,0.1,0.09999999999999999,Passed,12.4,5.73
